name,city,category,rating,description,tags,price_range,address
Amber Fort,Jaipur,historical,4.7,"Massive hilltop fort and palace complex with stunning architecture and elephant rides","heritage,romantic,photography,couple",low,"Devisinghpura, Amer, Jaipur"
Hawa Mahal,Jaipur,historical,4.5,"Iconic 5-storey palace of winds with 953 small windows built for royal ladies","heritage,photography,iconic",low,"Badi Choupad, Jaipur"
City Palace,Jaipur,historical,4.6,"Royal palace complex still home to the royal family with museums inside","heritage,royal,museum",mid,"Tripolia Bazaar, Jaipur"
Jantar Mantar,Jaipur,historical,4.3,"UNESCO world heritage astronomical instruments built in 18th century","heritage,science,UNESCO",low,"Near City Palace, Jaipur"
Nahargarh Fort,Jaipur,historical,4.4,"Hilltop fort with panoramic views of Jaipur city especially beautiful at sunset","views,sunset,romantic,couple",low,"Krishna Nagar, Jaipur"
Albert Hall Museum,Jaipur,historical,4.3,"Oldest museum in Rajasthan with Egyptian mummy and art collections","museum,culture,history",low,"Ram Niwas Garden, Jaipur"
Chokhi Dhani,Jaipur,food,4.4,"Authentic Rajasthani village themed resort with folk dance and traditional food","family,culture,food,entertainment",mid,"Tonk Road, Jaipur"
LMB Restaurant,Jaipur,food,4.5,"Famous restaurant since 1954 serving authentic Rajasthani sweets and thalis","vegetarian,authentic,iconic",mid,"Johari Bazaar, Jaipur"
Masala Chowk,Jaipur,food,4.3,"Government food plaza with 23 stalls serving Rajasthani street food","street food,budget,variety",low,"Ram Niwas Garden, Jaipur"
Lassiwala,Jaipur,food,4.6,"Legendary lassi shop open since 1944 serving thick creamy lassi in earthen pots","iconic,breakfast,budget",low,"MI Road, Jaipur"
Jal Mahal,Jaipur,nature,4.2,"Beautiful palace floating in the middle of Man Sagar Lake surrounded by Aravalli hills","romantic,photography,sunset,couple",low,"Man Sagar Lake, Jaipur"
Sisodia Rani Garden,Jaipur,nature,4.1,"Beautiful Mughal garden with fountains and murals built for Queen Sisodia","nature,romantic,peaceful,couple",low,"Agra Road, Jaipur"
Red Fort,Delhi,historical,4.6,"Massive 17th century Mughal fort and UNESCO world heritage site on Yamuna river","heritage,UNESCO,iconic,history",low,"Netaji Subhash Marg, Delhi"
Qutub Minar,Delhi,historical,4.5,"World's tallest brick minaret standing 73 metres tall built in 1193","UNESCO,heritage,architecture",low,"Mehrauli, Delhi"
Humayun's Tomb,Delhi,historical,4.6,"Magnificent 16th century Mughal tomb that inspired the Taj Mahal design","UNESCO,heritage,photography,romantic",low,"Mathura Road, Delhi"
India Gate,Delhi,historical,4.5,"War memorial and iconic landmark surrounded by beautiful lawns","iconic,family,evening,picnic",low,"Rajpath, Delhi"
Lotus Temple,Delhi,historical,4.6,"Stunning white marble Baha'i house of worship shaped like a lotus flower","architecture,peaceful,spiritual",low,"Bahapur, Delhi"
Akshardham Temple,Delhi,historical,4.7,"Magnificent modern Hindu temple complex with exhibitions and musical fountain","spiritual,family,culture",low,"NH 24, Delhi"
Chandni Chowk,Delhi,food,4.3,"Famous 17th century market with the best street food in Delhi — parathas, jalebis, chaat","street food,budget,authentic",low,"Old Delhi"
Karim's Restaurant,Delhi,food,4.5,"Legendary Mughlai restaurant near Jama Masjid serving authentic non-vegetarian food since 1913","non-veg,iconic,authentic,history",mid,"Gali Kababian, Jama Masjid, Delhi"
Connaught Place,Delhi,shopping,4.2,"Central business district with restaurants, bars, shops and street performers","shopping,nightlife,food,social",mid,"Connaught Place, New Delhi"
Lodhi Garden,Delhi,nature,4.5,"15th century tombs surrounded by 90 acres of beautiful gardens popular for morning walks","nature,heritage,peaceful,morning",low,"Lodhi Road, Delhi"
Taj Mahal,Agra,historical,4.9,"One of the seven wonders of the world — ivory marble mausoleum built by Shah Jahan for Mumtaz","UNESCO,iconic,romantic,couple,photography",low,"Dharmapuri, Agra"
Agra Fort,Agra,historical,4.5,"UNESCO world heritage red sandstone fort that was the main residence of Mughal emperors","UNESCO,heritage,history",low,"Rakabganj, Agra"
Fatehpur Sikri,Agra,historical,4.4,"Abandoned Mughal city built by Akbar in 1569 only occupied for 14 years","UNESCO,heritage,mystery,photography",low,"Fatehpur Sikri, UP"
Mehtab Bagh,Agra,nature,4.4,"Garden across the river from Taj Mahal offering the most beautiful sunset view","romantic,sunset,couple,photography",low,"Nagla Devjit, Agra"
Goa Beach - Calangute,Goa,nature,4.1,"Queen of Goa's beaches — wide sandy beach with water sports and shacks","beach,family,water sports,party",low,"Calangute, North Goa"
Goa Beach - Palolem,Goa,nature,4.6,"Crescent-shaped paradise beach in South Goa more peaceful and scenic","beach,romantic,couple,peaceful",low,"Palolem, South Goa"
Dudhsagar Falls,Goa,nature,4.7,"Spectacular 4-tiered waterfall on Goa-Karnataka border reaching 310 metres","adventure,nature,photography,trekking",low,"Sanguem, Goa"
